"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (argv)""|""relative:///cpio/mkbootfs.c:345:28:345:31""]] and then passed to read_canned_config(filename), which calls fopen(__filename)","/cpio/mkbootfs.c","345","28","345","34"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (argv)""|""relative:///cpio/mkbootfs.c:360:18:360:21""]] and then passed to _archive_dir(in), which calls _archive(in), which calls open(__file)","/cpio/mkbootfs.c","284","18","284","19"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (getenv)""|""relative:///fastboot/fastboot.cpp:183:17:183:22""]] and then passed to open(__file)","/fastboot/fastboot.cpp","244","47","244","51"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (getenv)""|""relative:///fastboot/fastboot.cpp:183:17:183:22""]] and then passed to open(__file)","/fastboot/fastboot.cpp","1625","51","1625","55"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (read)""|""relative:///fastboot/usb_linux.cpp:300:18:300:20""]] and then passed to open(__file)","/fastboot/usb_linux.cpp","366","28","366","34"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (read)""|""relative:///fastboot/usb_linux.cpp:300:18:300:20""]] and then passed to open(__file)","/fastboot/usb_linux.cpp","370","32","370","38"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (getenv)""|""relative:///fastboot/fastboot.cpp:183:17:183:22""]] and then passed to open(__file)","/fs_mgr/liblp/utility.cpp","221","38","221","41"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (argv)""|""relative:///fs_mgr/tools/dmctl.cpp:566:23:566:26""]] and then passed to ReadFile(filename), which calls std::__1::basic_ifstream<char, char_traits<char>>::basic_ifstream(__s), which calls std::__1::basic_filebuf<char, char_traits<char>>::open(__s), which calls fopen(__filename)
This argument to a file access function is derived from [[""user input (argv)""|""relative:///fs_mgr/tools/dmctl.cpp:566:23:566:26""]] and then passed to ReadFile(filename), which calls std::__1::basic_ifstream<char, char_traits<char>>::basic_ifstream(__s)
This argument to a file access function is derived from [[""user input (argv)""|""relative:///fs_mgr/tools/dmctl.cpp:566:23:566:26""]] and then passed to ReadFile(filename), which calls std::__1::basic_ifstream<char, char_traits<char>>::basic_ifstream(__s), which calls std::__1::basic_filebuf<char, char_traits<char>>::open(__s)","/fs_mgr/tools/dmctl.cpp","566","23","566","29"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (argv)""|""relative:///libsparse/img2simg.cpp:69:15:69:18""]] and then passed to open(__file)","/libsparse/img2simg.cpp","69","15","69","21"
"Uncontrolled data used in path expression","Accessing paths influenced by users can allow an attacker to access unexpected resources.","warning","This argument to a file access function is derived from [[""user input (argv)""|""relative:///libsparse/img2simg.cpp:79:16:79:19""]] and then passed to open(__file)","/libsparse/img2simg.cpp","79","16","79","22"
