"Inconsistent nullness check","The result value of a function is often checked for nullness, but not always. Since the value is mostly checked, it is likely that the function can return null values in some cases, and omitting the check could crash the program.","error","The result of this call to GKI_dequeue is not checked for null, but 87% of calls to GKI_dequeue check for null.","/src/nfc/llcp/llcp_dlc.cc","1305","23","1305","33"
"Potentially overflowing call to snprintf","Using the return value from snprintf without proper checks can cause overflow.","warning","The [[""size argument""|""relative:///src/nfa/ee/nfa_ee_act.cc:135:31:135:48""]] of this snprintf call is derived from its return value, which may exceed the size of the buffer and overflow.","/src/nfa/ee/nfa_ee_act.cc","135","11","135","18"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/adaptation/CrcChecksum.cc","101","28","101","31"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/adaptation/CrcChecksum.cc","106","29","106","42"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types unsigned int and int.","/src/adaptation/CrcChecksum.cc","115","70","115","73"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned short.","/src/adaptation/CrcChecksum.cc","78","11","78","60"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/adaptation/NfcAdaptation.cc","229","35","229","77"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/adaptation/debug_nfcsnoop.cc","206","20","206","27"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned char.","/src/adaptation/debug_nfcsnoop.cc","135","16","135","49"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/adaptation/debug_nfcsnoop.cc","150","20","150","42"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types unsigned int and long.","/src/adaptation/debug_nfcsnoop.cc","108","33","108","46"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned char.","/src/adaptation/debug_nfcsnoop.cc","75","24","75","42"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/adaptation/libmain.cc","144","31","144","35"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/adaptation/libmain.cc","145","32","145","36"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/adaptation/libmain.cc","92","29","92","32"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/adaptation/libmain.cc","97","29","97","32"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned short.","/src/gki/common/gki_buffer.cc","1336","10","1336","40"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/gki/common/gki_buffer.cc","1228","23","1228","38"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/gki/common/gki_buffer.cc","1230","17","1230","24"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/gki/common/gki_buffer.cc","270","10","270","25"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/gki/common/gki_buffer.cc","56","23","56","38"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/gki/common/gki_buffer.cc","57","25","57","32"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/gki/common/gki_time.cc","777","31","777","35"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types unsigned int and int.","/src/gki/common/gki_time.cc","780","35","780","48"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/gki/common/gki_time.cc","711","27","711","31"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/gki/common/gki_time.cc","717","27","717","31"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/gki/common/gki_time.cc","366","25","366","47"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/src/gki/common/gki_time.cc","390","36","390","58"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types long and unsigned int.","/src/gki/ulinux/gki_ulinux.cc","921","24","921","28"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned char.","/src/gki/ulinux/gki_ulinux.cc","784","14","784","16"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types unsigned int and long.","/src/gki/ulinux/gki_ulinux.cc","682","18","682","31"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types unsigned int and long.","/src/gki/ulinux/gki_ulinux.cc","683","19","683","48"
